"","sn","rugs_urlnames_full","url","DateAdded"
"59",59,"Mastering-R-at-MI-2","https://www.meetup.com/Mastering-R-at-MI-2/","October, 2019"
"60",60,"Grupo-de-Usuarios-de-R-de-Madrid","https://www.meetup.com/Grupo-de-Usuarios-de-R-de-Madrid/","October, 2019"
"61",61,"Winnipeg-R-User-Group","https://www.meetup.com/Winnipeg-R-User-Group/","October, 2019"
"62",62,"Applied-R-Munich","https://www.meetup.com/Applied-R-Munich/","October, 2019"
"63",63,"Austin-R-User-Group","https://www.meetup.com/Austin-R-User-Group/","October, 2019"
"64",64,"Inland-Northwest-R-User-Group-INRUG","https://www.meetup.com/Inland-Northwest-R-User-Group-INRUG/","October, 2019"
"65",65,"Hong-Kong-R-User-Group","https://www.meetup.com/Hong-Kong-R-User-Group/","October, 2019"
"66",66,"Panama-R-Users-Group","https://www.meetup.com/Panama-R-Users-Group/","October, 2019"
"67",67,"Sevilla-R-users","https://www.meetup.com/Sevilla-R-users/","October, 2019"
"68",68,"Meetup-de-Grupo-de-Usuarios-de-R-de-Malaga","https://www.meetup.com/Meetup-de-Grupo-de-Usuarios-de-R-de-Malaga/","October, 2019"
"69",69,"Cleveland-UseR-Group","https://www.meetup.com/Cleveland-UseR-Group/","October, 2019"
"70",70,"Portsmouth-R-User-Group","https://www.meetup.com/Portsmouth-R-User-Group/","October, 2019"
"71",71,"Ann-Arbor-R-User-Group","https://www.meetup.com/Ann-Arbor-R-User-Group/","October, 2019"
"72",72,"Indy-useR-Group","https://www.meetup.com/Indy-useR-Group/","October, 2019"
"73",73,"TRUgroup","https://www.meetup.com/TRUgroup/","October, 2019"
"74",74,"Patras-R-Users-Group","https://www.meetup.com/Patras-R-Users-Group/","October, 2019"
"75",75,"zagreb-r-group","https://www.meetup.com/zagreb-r-group/","October, 2019"
"76",76,"R-User-Group-Finland","https://www.meetup.com/R-User-Group-Finland/","October, 2019"
"77",77,"Campinas-R-Users-Meetup","https://www.meetup.com/Campinas-R-Users-Meetup/","October, 2019"
"78",78,"UVa-R-Users-Group","https://www.meetup.com/UVa-R-Users-Group/","October, 2019"
"79",79,"Heredia-R-User-Group","https://www.meetup.com/Heredia-R-User-Group/","October, 2019"
"80",80,"Bi-R-mingham-R-Meetup","https://www.meetup.com/Bi-R-mingham-R-Meetup/","October, 2019"
"81",81,"Dallas-R-Users-Group","https://www.meetup.com/Dallas-R-Users-Group/","October, 2019"
"82",82,"The-Mexico-City-R-Users-Group","https://www.meetup.com/The-Mexico-City-R-Users-Group/","October, 2019"
"83",83,"utah-county-rug","https://www.meetup.com/utah-county-rug/","October, 2019"
"84",84,"Wellington-R-Users-Group-WRUG","https://www.meetup.com/Wellington-R-Users-Group-WRUG/","October, 2019"
"85",85,"R-User-Group-Philippines","https://www.meetup.com/R-User-Group-Philippines/","October, 2019"
"86",86,"Charlotte-R-Users-Group","https://www.meetup.com/Charlotte-R-Users-Group/","October, 2019"
"87",87,"AalborgRUG","https://www.meetup.com/AalborgRUG/","October, 2019"
"88",88,"Greater-Portland-useR-Group","https://www.meetup.com/Greater-Portland-useR-Group/","October, 2019"
"89",89,"Prague-R-Meetup-Group","https://www.meetup.com/Prague-R-Meetup-Group/","October, 2019"
"90",90,"Adventures-in-R-Meetup","https://www.meetup.com/Adventures-in-R-Meetup/","October, 2019"
"91",91,"RVA-R-Users-Group","https://www.meetup.com/RVA-R-Users-Group/","October, 2019"
"92",92,"San-Carlos-R-User-Group","https://www.meetup.com/San-Carlos-R-User-Group/","October, 2019"
"93",93,"slc-rug","https://www.meetup.com/slc-rug/","October, 2019"
"94",94,"Oslo-useR-Group","https://www.meetup.com/Oslo-useR-Group/","October, 2019"
"95",95,"Belo-Horizonte-R-Users-Group","https://www.meetup.com/Belo-Horizonte-R-Users-Group/","October, 2019"
"96",96,"Malaysia-R-User-Group","https://www.meetup.com/Malaysia-R-User-Group/","October, 2019"
"97",97,"Tecate-BC-Mexico-R-Users-Group-Meetup","https://www.meetup.com/Tecate-BC-Mexico-R-Users-Group-Meetup/","October, 2019"
"98",98,"Brisbane-Users-of-R-Group-BURGr","https://www.meetup.com/Brisbane-Users-of-R-Group-BURGr/","October, 2019"
"99",99,"twincitiesrug","https://www.meetup.com/twincitiesrug/","October, 2019"
"100",100,"DenverRUG","https://www.meetup.com/DenverRUG/","October, 2019"
"101",101,"R-User-Group-SG","https://www.meetup.com/R-User-Group-SG/","October, 2019"
"102",102,"Saint-Louis-RUG","https://www.meetup.com/Saint-Louis-RUG/","October, 2019"
"103",103,"South-Central-PA-R-Ladies","https://www.meetup.com/South-Central-PA-R-Ladies/","October, 2019"
"104",104,"portland-r-user-group","https://www.meetup.com/portland-r-user-group/","October, 2019"
"105",105,"Wiesbaden-R-Users-Group","https://www.meetup.com/Wiesbaden-R-Users-Group/","October, 2019"
"106",106,"R-Lab-Milano","https://www.meetup.com/R-Lab-Milano/","October, 2019"
"107",107,"R-Users-Monterrey","https://www.meetup.com/R-Users-Monterrey/","October, 2019"
"108",108,"R-Users-Group-Gainesville-FL","https://www.meetup.com/R-Users-Group-Gainesville-FL/","October, 2019"
"109",109,"R-Users-Group-Chennai","https://www.meetup.com/R-Users-Group-Chennai/","October, 2019"
"110",110,"R-Users-Slovakia","https://www.meetup.com/R-Users-Slovakia/","October, 2019"
"111",111,"tcr-users","https://www.meetup.com/tcr-users/","October, 2019"
"112",112,"R-Users-Group-Cali","https://www.meetup.com/R-Users-Group-Cali/","October, 2019"
"113",113,"Vancouver-R-Users-Group-data-analysis-statistics","https://www.meetup.com/Vancouver-R-Users-Group-data-analysis-statistics/","October, 2019"
"114",114,"SheffieldR-Sheffield-R-Users-Group","https://www.meetup.com/SheffieldR-Sheffield-R-Users-Group/","October, 2019"
"115",115,"Kyiv-useR-Group","https://www.meetup.com/Kyiv-useR-Group/","October, 2019"
"116",116,"Auckland-R-Users-Group-AKLRUG","https://www.meetup.com/Auckland-R-Users-Group-AKLRUG/","October, 2019"
"117",117,"mumbai-r-user-group","https://www.meetup.com/mumbai-r-user-group/","October, 2019"
"118",118,"DakaR-R-User-Group","https://www.meetup.com/DakaR-R-User-Group/","October, 2019"
"119",119,"Delhi-NCR-useR-Group-R-programming-language","https://www.meetup.com/Delhi-NCR-useR-Group-R-programming-language/","October, 2019"
"120",120,"R-Users-Atlanta","https://www.meetup.com/R-Users-Atlanta/","October, 2019"
"121",121,"Bozeman-useR-Group-R-Programming-Language","https://www.meetup.com/Bozeman-useR-Group-R-Programming-Language/","October, 2019"
"122",122,"FEDPOFA-R-Users-Group","https://www.meetup.com/FEDPOFA-R-Users-Group/","October, 2019"
"123",123,"Albany-R-Users-Group","https://www.meetup.com/Albany-R-Users-Group/","October, 2019"
"124",124,"New-Delhi-R-UseR-Group","https://www.meetup.com/New-Delhi-R-UseR-Group/","October, 2019"
"125",125,"Leipzig-R-statistical-computing","https://www.meetup.com/Leipzig-R-statistical-computing/","October, 2019"
"126",126,"R-Users","https://www.meetup.com/R-Users/","October, 2019"
"127",127,"R-Users-Sydney","https://www.meetup.com/R-Users-Sydney/","October, 2019"
"128",128,"amst-R-dam","https://www.meetup.com/amst-R-dam/","October, 2019"
"129",129,"Conneticut-R-Users-Group","https://www.meetup.com/Conneticut-R-Users-Group/","October, 2019"
"130",130,"Florianopolis-R-NNQ-R-users-group","https://www.meetup.com/Florianopolis-R-NNQ-R-users-group/","October, 2019"
"131",131,"MelbURN-Melbourne-Users-of-R-Network","https://www.meetup.com/MelbURN-Melbourne-Users-of-R-Network/","October, 2019"
"132",132,"LagosRUsers","https://www.meetup.com/LagosRUsers/","October, 2019"
"133",133,"BelgradeR","https://www.meetup.com/BelgradeR/","October, 2019"
"134",134,"BarcelonaR","https://www.meetup.com/BarcelonaR/","October, 2019"
"135",135,"Warwick-useRs","https://www.meetup.com/Warwick-useRs/","October, 2019"
"136",136,"rladies-bari","https://www.meetup.com/rladies-bari/","October, 2019"
"137",137,"Budapest-Data-Pizza","https://www.meetup.com/Budapest-Data-Pizza/","October, 2019"
"138",138,"LondonR","https://www.meetup.com/LondonR/","October, 2019"
"139",139,"erkakrakow","https://www.meetup.com/erkakrakow/","October, 2019"
"140",140,"calgaryr","https://www.meetup.com/calgaryr/","October, 2019"
"141",141,"rladies-bariloche","https://www.meetup.com/rladies-bariloche/","October, 2019"
"142",142,"EswatiniUseR","https://www.meetup.com/EswatiniUseR/","October, 2019"
"143",143,"rladies-cordoba","https://www.meetup.com/rladies-cordoba/","October, 2019"
"144",144,"Valledupar-Analitica-R","https://www.meetup.com/Valledupar-Analitica-R/","October, 2019"
"145",145,"Barranquilla-Analitica-R","https://www.meetup.com/Barranquilla-Analitica-R/","October, 2019"
"146",146,"nyhackr","https://www.meetup.com/nyhackr/","October, 2019"
"147",147,"rladies-buenos-aires","https://www.meetup.com/rladies-buenos-aires/","October, 2019"
"148",148,"stats-prog-dc","https://www.meetup.com/stats-prog-dc/","October, 2019"
"149",149,"user-kin","https://www.meetup.com/user-kin/","October, 2019"
"150",150,"rMoscow","https://www.meetup.com/rMoscow/","October, 2019"
"151",151,"rladies-santa-fe","https://www.meetup.com/rladies-santa-fe/","October, 2019"
"152",152,"rladies-la-paz","https://www.meetup.com/rladies-la-paz/","October, 2019"
"153",153,"Triangle-useR","https://www.meetup.com/Triangle-useR/","October, 2019"
"154",154,"rladies-ushuaia","https://www.meetup.com/rladies-ushuaia/","October, 2019"
"155",155,"BirminghamR","https://www.meetup.com/BirminghamR/","October, 2019"
"156",156,"meetup-group-cwPiAlnB","https://www.meetup.com/meetup-group-cwPiAlnB/","October, 2019"
"157",157,"Manchester-R","https://www.meetup.com/Manchester-R/","October, 2019"
"158",158,"ViennaR","https://www.meetup.com/ViennaR/","October, 2019"
"159",159,"sonRai","https://www.meetup.com/sonRai/","October, 2019"
"160",160,"StockholmR","https://www.meetup.com/StockholmR/","October, 2019"
"161",161,"rladies-resistencia-corrientes","https://www.meetup.com/rladies-resistencia-corrientes/","October, 2019"
"162",162,"rladies-chicago","https://www.meetup.com/rladies-chicago/","October, 2019"
"163",163,"rladies-adelaide","https://www.meetup.com/rladies-adelaide/","October, 2019"
"164",164,"rladies-natal","https://www.meetup.com/rladies-natal/","October, 2019"
"165",165,"r-frankfurt","https://www.meetup.com/r-frankfurt/","October, 2019"
"166",166,"Buffalo-R","https://www.meetup.com/Buffalo-R/","October, 2019"
"167",167,"rladies-vancouver","https://www.meetup.com/rladies-vancouver/","October, 2019"
"168",168,"Poznanski-Horyzont-Danych","https://www.meetup.com/Poznanski-Horyzont-Danych/","October, 2019"
"169",169,"rladies-lviv","https://www.meetup.com/rladies-lviv/","October, 2019"
"170",170,"rladies-boulder","https://www.meetup.com/rladies-boulder/","October, 2019"
"171",171,"rladies-scl","https://www.meetup.com/rladies-scl/","October, 2019"
"172",172,"rladies-montpellier","https://www.meetup.com/rladies-montpellier/","October, 2019"
"173",173,"UseRS_","https://www.meetup.com/UseRS_/","October, 2019"
"174",174,"rladies-philly","https://www.meetup.com/rladies-philly/","October, 2019"
"175",175,"rladies-sydney","https://www.meetup.com/rladies-sydney/","October, 2019"
"176",176,"rladies-xalapa","https://www.meetup.com/rladies-xalapa/","October, 2019"
"177",177,"rladies-toronto","https://www.meetup.com/rladies-toronto/","October, 2019"
"178",178,"rladies-brisbane","https://www.meetup.com/rladies-brisbane/","October, 2019"
"179",179,"rladies-tucson-az","https://www.meetup.com/rladies-tucson-az/","October, 2019"
"180",180,"rladies-auckland","https://www.meetup.com/rladies-auckland/","October, 2019"
"181",181,"useRchile","https://www.meetup.com/useRchile/","October, 2019"
"182",182,"rladies-novi-sad","https://www.meetup.com/rladies-novi-sad/","October, 2019"
"183",183,"rladies-charlottesville","https://www.meetup.com/rladies-charlottesville/","October, 2019"
"184",184,"rladies-christchurch","https://www.meetup.com/rladies-christchurch/","October, 2019"
"185",185,"rladies-santa-rosa","https://www.meetup.com/rladies-santa-rosa/","October, 2019"
"186",186,"rparis","https://www.meetup.com/rparis/","October, 2019"
"187",187,"rladies-wageningen","https://www.meetup.com/rladies-wageningen/","October, 2019"
"188",188,"rladies-liverpool","https://www.meetup.com/rladies-liverpool/","October, 2019"
"189",189,"rladies-goiania","https://www.meetup.com/rladies-goiania/","October, 2019"
"190",190,"useR-SP","https://www.meetup.com/useR-SP/","October, 2019"
"191",191,"rladies-porto-alegre","https://www.meetup.com/rladies-porto-alegre/","October, 2019"
"192",192,"rladies-montevideo","https://www.meetup.com/rladies-montevideo/","October, 2019"
"193",193,"meetup-group-XAHidokx","https://www.meetup.com/meetup-group-XAHidokx/","October, 2019"
"194",194,"rladies-sarasota","https://www.meetup.com/rladies-sarasota/","October, 2019"
"195",195,"ChiangMaiR","https://www.meetup.com/ChiangMaiR/","October, 2019"
"196",196,"rladies-niteroi","https://www.meetup.com/rladies-niteroi/","October, 2019"
"197",197,"rladies-san-francisco","https://www.meetup.com/rladies-san-francisco/","October, 2019"
"198",198,"rladies-perth","https://www.meetup.com/rladies-perth/","October, 2019"
"199",199,"rladies-edinburgh","https://www.meetup.com/rladies-edinburgh/","October, 2019"
"200",200,"rladies-stockholm","https://www.meetup.com/rladies-stockholm/","October, 2019"
"201",201,"rladies-belgrade","https://www.meetup.com/rladies-belgrade/","October, 2019"
"202",202,"rladies-kyiv","https://www.meetup.com/rladies-kyiv/","October, 2019"
"203",203,"BaselR","https://www.meetup.com/BaselR/","October, 2019"
"204",204,"rladies-copenhagen","https://www.meetup.com/rladies-copenhagen/","October, 2019"
"205",205,"rladies-bucharest","https://www.meetup.com/rladies-bucharest/","October, 2019"
