"","X","name","city","country","region","members","fullurl","created","past_events","upcoming_events","visibility","last_event"
"102",102,"Bi[R]mingham R Meetup","Birmingham","USA","US/Canada",246,"https://www.meetup.com/Bi-R-mingham-R-Meetup/","2014-10-01",5,0,"public","2015-04-24"
"103",103,"Dallas R Users Group","Dallas","USA","US/Canada",2183,"https://www.meetup.com/Dallas-R-Users-Group/","2011-02-19",84,0,"public","2019-04-20"
"104",104,"The México City R Users Group","México City","Mexico","Latin America",154,"https://www.meetup.com/The-Mexico-City-R-Users-Group/","2014-02-05",4,0,"public","2015-12-02"
"105",105,"Utah County R User Group","Provo","USA","US/Canada",99,"https://www.meetup.com/utah-county-rug/","2019-01-22",4,0,"public","2019-07-18"
"106",106,"Wellington R Users Group (WRUG)","Wellington","New Zealand","Australia",330,"https://www.meetup.com/Wellington-R-Users-Group-WRUG/","2013-09-04",12,0,"public","2018-02-27"
"107",107,"R User Group - Philippines","Manila","Philippines","Asia",1193,"https://www.meetup.com/R-User-Group-Philippines/","2013-08-20",68,3,"public","2019-09-18"
"108",108,"Charlotte R Users Group","Charlotte","USA","US/Canada",768,"https://www.meetup.com/Charlotte-R-Users-Group/","2013-12-17",27,3,"public","2019-09-17"
"109",109,"AalborgRUG","Aalborg","Denmark","Europe",169,"https://www.meetup.com/AalborgRUG/","2017-09-30",7,1,"public","2019-08-19"
"110",110,"Greater Portland useR Group (R programming language)","Portland","USA","US/Canada",132,"https://www.meetup.com/Greater-Portland-useR-Group/","2018-08-10",8,0,"public","2019-09-26"
"111",111,"Prague R Meetup Group","Prague","Czech Republic","Europe",665,"https://www.meetup.com/Prague-R-Meetup-Group/","2015-03-16",8,0,"public","2019-05-22"
"112",112,"Adventures in R Meetup","Newcastle Upon Tyne","United Kingdom","Europe",126,"https://www.meetup.com/Adventures-in-R-Meetup/","2018-08-16",18,0,"public","2019-01-22"
"113",113,"RVA R User's Group.","Richmond","USA","US/Canada",50,"https://www.meetup.com/RVA-R-Users-Group/","2018-01-29",8,0,"public","2019-05-22"
"114",114,"San Carlos R User Group","Quesada","Costa Rica","Latin America",594,"https://www.meetup.com/San-Carlos-R-User-Group/","2016-01-20",35,0,"public","2019-08-10"
"115",115,"Salt Lake City R Users Group","Salt Lake City","USA","US/Canada",603,"https://www.meetup.com/slc-rug/","2017-11-06",20,1,"public","2019-09-26"
"116",116,"Oslo useR! Group","Oslo","Norway","Europe",845,"https://www.meetup.com/Oslo-useR-Group/","2015-02-11",23,1,"public","2019-09-12"
"117",117,"Belo Horizonte R Users Group","Belo Horizonte","Brazil","Latin America",136,"https://www.meetup.com/Belo-Horizonte-R-Users-Group/","2016-05-13",0,0,"public","1970-01-01"
"118",118,"Malaysia R User Public Group","Kuala Lumpur","Malaysia","Asia",200,"https://www.meetup.com/Malaysia-R-User-Group/","2018-09-25",2,1,"public","2019-03-12"
"119",119,"Tecate BC México R Users Group Meetup","Tecate","Mexico","Latin America",15,"https://www.meetup.com/Tecate-BC-Mexico-R-Users-Group-Meetup/","2014-09-11",0,0,"public","1970-01-01"
"120",120,"Brisbane Users of R Group - BURGr","Brisbane","Australia","Australia",697,"https://www.meetup.com/Brisbane-Users-of-R-Group-BURGr/","2016-05-12",49,0,"public","2019-07-17"
"121",121,"Twin Cities R User Group (TCRUG)","Minneapolis","USA","US/Canada",1849,"https://www.meetup.com/twincitiesrug/","2011-01-26",65,0,"public","2019-07-19"
"122",122,"Denver R User Group","Denver","USA","US/Canada",1435,"https://www.meetup.com/DenverRUG/","2010-08-25",73,0,"public","2019-09-25"
"123",123,"R User Group - Singapore (RUGS)","Singapore","Singapore","Asia",2006,"https://www.meetup.com/R-User-Group-SG/","2010-07-26",76,2,"public_limited","2019-02-13"
"124",124,"Saint Louis R User Group","Saint Louis","USA","US/Canada",903,"https://www.meetup.com/Saint-Louis-RUG/","2011-01-26",65,3,"public","2019-08-07"
"125",125,"South Central PA R-Ladies","Middletown","USA","US/Canada",4,"https://www.meetup.com/South-Central-PA-R-Ladies/","2019-08-24",0,0,"public","1970-01-01"
"126",126,"Portland R User Group","Portland","USA","US/Canada",1606,"https://www.meetup.com/portland-r-user-group/","2010-08-04",148,2,"public","2019-09-21"
"127",127,"Wiesbaden R User Group","Wiesbaden","Germany","Europe",348,"https://www.meetup.com/Wiesbaden-R-Users-Group/","2011-01-28",45,0,"public","2019-08-20"
"128",128,"R-Lab Milano","Milano","Italy","Europe",466,"https://www.meetup.com/R-Lab-Milano/","2017-02-23",10,0,"public","2019-03-25"
"129",129,"R Users Monterrey","Monterrey","Mexico","Latin America",50,"https://www.meetup.com/R-Users-Monterrey/","2017-08-10",1,0,"public","2019-08-14"
"130",130,"R Users Group, Gainesville, FL","Gainesville","USA","US/Canada",452,"https://www.meetup.com/R-Users-Group-Gainesville-FL/","2013-05-22",33,0,"public","2018-02-06"
"131",131,"R Users Group Chennai","Chennai","India","Asia",373,"https://www.meetup.com/R-Users-Group-Chennai/","2014-05-25",3,0,"public","2014-11-08"
"132",132,"R <- Slovakia","Bratislava","Slovakia","Europe",30,"https://www.meetup.com/R-Users-Slovakia/","2019-04-22",1,0,"public","2019-09-16"
"133",133,"Turkish Community of R","Ankara","Turkey","Europe",1127,"https://www.meetup.com/tcr-users/","2013-03-08",4,0,"public","2019-05-23"
"134",134,"Cali R Users Group (Cali)","Cali","Colombia","Latin America",470,"https://www.meetup.com/R-Users-Group-Cali/","2014-12-23",8,0,"public","2017-11-04"
"135",135,"Vancouver R Users Group (data analysis / statistics)","Vancouver","Canada","US/Canada",1015,"https://www.meetup.com/Vancouver-R-Users-Group-data-analysis-statistics/","2011-02-09",20,0,"public","2015-08-03"
"136",136,"SheffieldR - Sheffield R Users Group","Sheffield","United Kingdom","Europe",425,"https://www.meetup.com/SheffieldR-Sheffield-R-Users-Group/","2013-03-28",49,1,"public","2019-08-06"
"137",137,"Kyiv useR! Group","Kyiv","Ukraine","Europe",567,"https://www.meetup.com/Kyiv-useR-Group/","2015-04-21",7,0,"public","2018-08-15"
"138",138,"Auckland R Users Group (AKLRUG)","Auckland","New Zealand","Australia",1260,"https://www.meetup.com/Auckland-R-Users-Group-AKLRUG/","2013-01-08",20,0,"public","2019-09-12"
"139",139,"mumbai-r-user-group","Mumbai","India","Asia",575,"https://www.meetup.com/mumbai-r-user-group/","2013-09-15",31,1,"public","2017-02-02"
"140",140,"DakaR R User Group","Dakar","Senegal","Africa",227,"https://www.meetup.com/DakaR-R-User-Group/","2013-10-23",6,0,"public","2019-09-28"
"141",141,"Delhi NCR useR Group (R programming language)","Delhi","India","Asia",178,"https://www.meetup.com/Delhi-NCR-useR-Group-R-programming-language/","2018-05-28",3,0,"public","2019-07-20"
"142",142,"Atlanta R Users Group","Atlanta","USA","US/Canada",914,"https://www.meetup.com/R-Users-Atlanta/","2012-02-14",26,0,"public","2018-11-16"
"143",143,"Bozeman Area R useR Group","Bozeman","USA","US/Canada",152,"https://www.meetup.com/Bozeman-useR-Group-R-Programming-Language/","2013-05-30",25,0,"public","2018-03-02"
"144",144,"Offa R Users Group","Offa","Nigeria","Africa",169,"https://www.meetup.com/FEDPOFA-R-Users-Group/","2013-09-20",39,0,"public","2019-09-04"
"145",145,"Albany R Users Group","Albany","USA","US/Canada",287,"https://www.meetup.com/Albany-R-Users-Group/","2014-03-20",16,0,"public","2019-02-28"
"146",146,"New Delhi  UseR Group (R Programming Language)","Delhi","India","Asia",1452,"https://www.meetup.com/New-Delhi-R-UseR-Group/","2012-10-21",87,0,"public_limited","2018-08-18"
"147",147,"Leipzig R statistical computing","Leipzig","Germany","Europe",240,"https://www.meetup.com/Leipzig-R-statistical-computing/","2011-10-22",11,0,"public","2018-04-16"
"148",148,"Bay Area useR Group (R Programming Language)","San Francisco","USA","US/Canada",6276,"https://www.meetup.com/R-Users/","2008-07-17",141,1,"public","2019-09-04"
"149",149,"Sydney Users of  R Forum (SURF)","Sydney","Australia","Australia",2752,"https://www.meetup.com/R-Users-Sydney/","2010-06-06",110,0,"public","2019-08-14"
"150",150,"amst-R-dam","Amsterdam","Netherlands","Europe",1242,"https://www.meetup.com/amst-R-dam/","2010-09-09",33,0,"public","2019-06-20"
"151",151,"Connecticut R Users Group","New Haven","USA","US/Canada",276,"https://www.meetup.com/Conneticut-R-Users-Group/","2011-09-15",19,0,"public","2016-03-10"
"152",152,"Florianópolis R-NNQ R users group","Florianópolis","Brazil","Latin America",487,"https://www.meetup.com/Florianopolis-R-NNQ-R-users-group/","2016-05-06",17,0,"public","2019-09-26"
"153",153,"Melbourne Users of R Network (MelbURN)","Melbourne","Australia","Australia",2749,"https://www.meetup.com/MelbURN-Melbourne-Users-of-R-Network/","2010-08-04",93,2,"public","2019-09-09"
"328",328,"Lagos R User Group","Lagos","Nigeria","Africa",344,"https://www.meetup.com/LagosRUsers/","2019-03-10",3,0,"public","2019-09-28"
"334",334,"BelgradeR","Belgrade","Serbia","Europe",791,"https://www.meetup.com/BelgradeR/","2016-05-18",11,0,"public","2018-07-25"
"345",345,"Barcelona R User Group","Barcelona","Spain","Europe",742,"https://www.meetup.com/BarcelonaR/","2013-10-01",24,0,"public","2019-09-26"
"348",348,"Warwick R User Group (R Programming Language)","Coventry","United Kingdom","Europe",319,"https://www.meetup.com/Warwick-useRs/","2017-07-08",13,1,"public","2019-05-29"
"349",349,"R-Ladies Bari","Bari","Italy","Europe",35,"https://www.meetup.com/rladies-bari/","2018-05-17",7,0,"public","2019-07-23"
"351",351,"Budapest Data & Pizza","Budapest","Hungary","Europe",83,"https://www.meetup.com/Budapest-Data-Pizza/","2019-09-02",0,0,"public","1970-01-01"
"352",352,"LondonR","London","United Kingdom","Europe",3329,"https://www.meetup.com/LondonR/","2010-02-05",74,0,"public","2019-09-24"
"354",354,"eRka / Cracow R Users Group","Kraków","Poland","Europe",820,"https://www.meetup.com/erkakrakow/","2014-10-19",27,0,"public","2019-06-12"
"386",386,"CalgaryR","Calgary","Canada","US/Canada",1020,"https://www.meetup.com/calgaryr/","2015-04-14",34,2,"public","2019-09-18"
"387",387,"R-Ladies Bariloche","San Carlos de Bariloche","Argentina","Latin America",140,"https://www.meetup.com/rladies-bariloche/","2018-05-10",5,2,"public","2019-05-20"
"391",391,"EswatiniUseR Group","Manzini","Swaziland","Africa",9,"https://www.meetup.com/EswatiniUseR/","2019-08-11",0,0,"public","1970-01-01"
"393",393,"R-Ladies Córdoba","Córdoba","Argentina","Latin America",102,"https://www.meetup.com/rladies-cordoba/","2018-04-11",2,0,"public","2018-08-28"
"394",394,"Valledupar Analítica R","Valledupar","Colombia","Latin America",140,"https://www.meetup.com/Valledupar-Analitica-R/","2018-06-17",6,0,"public","2019-06-22"
"395",395,"Barranquilla Analítica R","Barranquilla","Colombia","Latin America",356,"https://www.meetup.com/Barranquilla-Analitica-R/","2018-05-26",7,0,"public","2019-06-28"
"396",396,"New York Open Statistical Programming Meetup","New York","USA","US/Canada",10915,"https://www.meetup.com/nyhackr/","2009-03-12",110,0,"public","2019-09-19"
"397",397,"R-Ladies Buenos Aires","Buenos Aires","Argentina","Latin America",778,"https://www.meetup.com/rladies-buenos-aires/","2017-01-03",16,1,"public","2019-09-14"
"398",398,"Statistical Programming DC","Washington","USA","US/Canada",6075,"https://www.meetup.com/stats-prog-dc/","2009-08-10",75,1,"public","2019-08-13"
"399",399,"UseR!Kin","Kinshasa","Congo (Dem. Rep.)","Africa",11,"https://www.meetup.com/user-kin/","2019-03-11",0,0,"public","1970-01-01"
"401",401,"rMoscow","Moscow","Russia","Europe",529,"https://www.meetup.com/rMoscow/","2014-06-16",6,0,"public","2019-04-20"
"402",402,"R-Ladies Santa Fe","Santa Fe","Argentina","Latin America",160,"https://www.meetup.com/rladies-santa-fe/","2018-05-08",10,0,"public","2019-08-08"
"404",404,"R-Ladies La Paz","La Paz","Bolivia","Latin America",80,"https://www.meetup.com/rladies-la-paz/","2018-10-23",2,0,"public","2019-03-09"
"405",405,"Raleigh-Durham-Chapel Hill R Users Group","Chapel Hill","USA","US/Canada",769,"https://www.meetup.com/Triangle-useR/","2010-08-16",38,0,"public","2016-03-12"
"406",406,"R-Ladies Ushuaia","Ushuaia","Argentina","Latin America",24,"https://www.meetup.com/rladies-ushuaia/","2018-05-09",1,0,"public","2018-05-22"
"409",409,"Birmingham R User Group (R Programming Language)","Birmingham","United Kingdom","Europe",588,"https://www.meetup.com/BirminghamR/","2011-12-05",18,0,"public","2019-09-26"
"411",411,"Eugene R Users","Eugene","USA","US/Canada",102,"https://www.meetup.com/meetup-group-cwPiAlnB/","2017-12-13",11,0,"public","2019-09-18"
"412",412,"Manchester R user Group","Manchester","United Kingdom","Europe",978,"https://www.meetup.com/Manchester-R/","2013-01-07",27,1,"public","2019-08-07"
"415",415,"Vienna<-R","Vienna","Austria","Europe",557,"https://www.meetup.com/ViennaR/","2011-10-29",39,0,"public","2019-06-27"
"416",416,"sonRaí","Galway","Ireland","Europe",130,"https://www.meetup.com/sonRai/","2018-02-16",4,0,"public","2019-06-07"
"418",418,"Stockholm R useR group (SRUG)","Stockholm","Sweden","Europe",1126,"https://www.meetup.com/StockholmR/","2012-07-23",33,0,"public","2019-06-13"
"419",419,"R-Ladies Resistencia-Corrientes","Corrientes","Argentina","Latin America",92,"https://www.meetup.com/rladies-resistencia-corrientes/","2018-06-08",6,0,"public_limited","2019-08-22"
"424",424,"R-Ladies Chicago","Chicago","USA","US/Canada",985,"https://www.meetup.com/rladies-chicago/","2017-07-05",29,0,"public","2019-09-26"
"425",425,"R-Ladies Adelaide","Adelaide","Australia","Australia",276,"https://www.meetup.com/rladies-adelaide/","2017-02-02",8,2,"public","2019-09-25"
"426",426,"R-Ladies Natal","Natal","Brazil","Latin America",137,"https://www.meetup.com/rladies-natal/","2017-09-25",3,0,"public_limited","2018-06-18"
"428",428,"Campus useR Group Frankfurt","Frankfurt","Germany","Europe",112,"https://www.meetup.com/r-frankfurt/","2019-01-24",5,1,"public","2019-08-19"
"430",430,"Buffalo R","Buffalo","USA","US/Canada",30,"https://www.meetup.com/Buffalo-R/","2019-06-27",0,1,"public","1970-01-01"
"433",433,"R-Ladies Vancouver","Vancouver","Canada","US/Canada",358,"https://www.meetup.com/rladies-vancouver/","2017-10-06",14,2,"public","2019-07-19"
"434",434,"Poznanski Horyzont Danych","Poznan","Poland","Europe",174,"https://www.meetup.com/Poznanski-Horyzont-Danych/","2019-03-04",1,0,"public","2019-04-04"
"437",437,"R-Ladies L'viv","L'viv","Ukraine","Europe",14,"https://www.meetup.com/rladies-lviv/","2019-08-31",2,1,"public","2019-09-19"
"438",438,"R-Ladies Boulder","Boulder","USA","US/Canada",75,"https://www.meetup.com/rladies-boulder/","2018-06-11",1,0,"public","2019-09-11"
"439",439,"R-Ladies Santiago","Santiago","Chile","Latin America",1428,"https://www.meetup.com/rladies-scl/","2017-07-18",23,0,"public","2019-09-16"
"440",440,"R-Ladies Montpellier","Montpellier","France","Europe",112,"https://www.meetup.com/rladies-montpellier/","2018-10-17",6,0,"public","2019-07-02"
"441",441,"UseRS","Porto Alegre","Brazil","Latin America",625,"https://www.meetup.com/UseRS_/","2015-12-22",11,0,"public","2019-07-31"
"444",444,"R-Ladies Philly","Philadelphia","USA","US/Canada",707,"https://www.meetup.com/rladies-philly/","2017-10-11",29,2,"public","2019-09-24"
"445",445,"R-Ladies Sydney","Sydney","Australia","Australia",650,"https://www.meetup.com/rladies-sydney/","2018-05-09",22,2,"public","2019-09-10"
"446",446,"R-Ladies Xalapa","Xalapa","Mexico","Latin America",188,"https://www.meetup.com/rladies-xalapa/","2018-07-30",9,0,"public_limited","2019-09-28"
"447",447,"R-Ladies Toronto","Toronto","Canada","US/Canada",430,"https://www.meetup.com/rladies-toronto/","2018-09-18",4,1,"public","2019-07-18"
"448",448,"R-Ladies Brisbane","Brisbane","Australia","Australia",193,"https://www.meetup.com/rladies-brisbane/","2018-05-10",6,1,"public","2019-09-03"
"449",449,"R-Ladies Tucson AZ","Tucson","USA","US/Canada",223,"https://www.meetup.com/rladies-tucson-az/","2017-11-14",8,1,"public","2019-09-07"
"450",450,"R-Ladies Auckland","Auckland","New Zealand","Australia",540,"https://www.meetup.com/rladies-auckland/","2017-11-20",16,1,"public","2019-08-21"
"451",451,"Grupo de Usuarios de R en Chile","Santiago","Chile","Latin America",1491,"https://www.meetup.com/useRchile/","2013-01-22",35,0,"public","2019-09-25"
"452",452,"R-Ladies Novi Sad","Novi Sad","Serbia","Europe",72,"https://www.meetup.com/rladies-novi-sad/","2019-05-24",2,0,"public","2019-09-28"
"453",453,"R-Ladies Charlottesville","Charlottesville","USA","US/Canada",164,"https://www.meetup.com/rladies-charlottesville/","2017-09-21",16,0,"public","2019-09-26"
"454",454,"R-Ladies Christchurch","Christchurch","New Zealand","Australia",62,"https://www.meetup.com/rladies-christchurch/","2019-05-04",4,1,"public","2019-09-10"
"456",456,"R-Ladies Santa Rosa","Santa Rosa","Argentina","Latin America",40,"https://www.meetup.com/rladies-santa-rosa/","2017-04-06",10,0,"public","2019-09-13"
"457",457,"R Addicts Paris","Paris","France","Europe",1652,"https://www.meetup.com/rparis/","2013-03-21",24,0,"public","2019-06-28"
"458",458,"R-Ladies Wageningen","Wageningen","Netherlands","Europe",56,"https://www.meetup.com/rladies-wageningen/","2018-06-18",2,0,"public","2018-12-13"
"459",459,"R-Ladies Liverpool","Liverpool","United Kingdom","Europe",62,"https://www.meetup.com/rladies-liverpool/","2017-10-29",1,0,"public","2017-11-30"
"461",461,"R-Ladies Goiânia","Goiania","Brazil","Latin America",40,"https://www.meetup.com/rladies-goiania/","2019-05-06",0,0,"public","1970-01-01"
"462",462,"São Paulo R Users Group","São Paulo","Brazil","Latin America",1972,"https://www.meetup.com/useR-SP/","2015-05-30",24,0,"public_limited","2016-12-23"
"463",463,"R-Ladies Porto Alegre","Porto Alegre","Brazil","Latin America",275,"https://www.meetup.com/rladies-porto-alegre/","2017-10-30",5,0,"public","2019-06-17"
"464",464,"R-Ladies Montevideo","Montevideo","Uruguay","Latin America",209,"https://www.meetup.com/rladies-montevideo/","2017-06-02",9,0,"public","2019-05-29"
"467",467,"Medellín R Users Group","Medellín","Colombia","Latin America",199,"https://www.meetup.com/meetup-group-XAHidokx/","2019-04-05",1,0,"public","2019-06-29"
"470",470,"R-Ladies Sarasota","Sarasota","USA","US/Canada",37,"https://www.meetup.com/rladies-sarasota/","2017-10-13",4,0,"public","2018-03-26"
"471",471,"Chiang Mai R Users Group","Chiang Mai","Thailand","Asia",73,"https://www.meetup.com/ChiangMaiR/","2015-04-14",0,0,"public","1970-01-01"
"476",476,"R-Ladies Niterói","Niterói","Brazil","Latin America",421,"https://www.meetup.com/rladies-niteroi/","2018-06-04",6,0,"public","2019-09-27"
"477",477,"R-Ladies San Francisco","San Francisco","USA","US/Canada",1477,"https://www.meetup.com/rladies-san-francisco/","2012-10-01",55,1,"public","2019-08-08"
"478",478,"R-Ladies Perth","Perth","Australia","Australia",182,"https://www.meetup.com/rladies-perth/","2018-10-23",5,5,"public","2019-09-04"
"479",479,"R-Ladies Edinburgh","Edinburgh","United Kingdom","Europe",236,"https://www.meetup.com/rladies-edinburgh/","2018-07-27",5,0,"public","2019-09-26"
"480",480,"R-Ladies Stockholm","Stockholm","Sweden","Europe",290,"https://www.meetup.com/rladies-stockholm/","2018-08-16",5,1,"public","2019-06-15"
"481",481,"R-Ladies Belgrade","Belgrade","Serbia","Europe",342,"https://www.meetup.com/rladies-belgrade/","2017-09-15",16,0,"public","2019-09-11"
"482",482,"R-Ladies Kyiv","Kyiv","Ukraine","Europe",163,"https://www.meetup.com/rladies-kyiv/","2019-02-15",8,1,"public","2019-09-25"
"483",483,"BaselR","Basel","Switzerland","Europe",450,"https://www.meetup.com/BaselR/","2010-04-13",22,0,"public_limited","2019-09-25"
"484",484,"R-Ladies Copenhagen","Copenhagen","Denmark","Europe",404,"https://www.meetup.com/rladies-copenhagen/","2017-11-20",9,0,"public","2019-09-26"
"485",485,"R-Ladies Bucharest","Bucharest","Romania","Europe",40,"https://www.meetup.com/rladies-bucharest/","2019-05-09",1,0,"public","2019-09-17"
"486",486,"R-Ladies Columbus","Columbus","USA","US/Canada",712,"https://www.meetup.com/rladies-columbus/","2016-10-04",28,0,"public","2019-09-12"
"487",487,"R-Ladies Rotterdam","Rotterdam","Netherlands","Europe",346,"https://www.meetup.com/rladies-rotterdam/","2017-12-05",11,0,"public","2019-09-13"
"488",488,"R-Ladies Twin Cities","Minneapolis","USA","US/Canada",315,"https://www.meetup.com/rladies-tc/","2015-04-01",34,3,"public","2019-09-18"
"489",489,"R-Ladies London","London","United Kingdom","Europe",1425,"https://www.meetup.com/rladies-london/","2016-01-31",49,0,"public","2019-09-12"
"490",490,"We R","London","United Kingdom","Europe",383,"https://www.meetup.com/WeR-stats/","2017-03-15",13,1,"public_limited","2019-08-28"
"491",491,"R-Ladies Cambridge","Cambridge","United Kingdom","Europe",153,"https://www.meetup.com/rladies-cambridge/","2017-11-10",1,0,"public","2019-09-13"
"492",492,"R-Ladies Budapest","Budapest","Hungary","Europe",785,"https://www.meetup.com/rladies-budapest/","2017-01-24",29,1,"public","2019-09-05"
"493",493,"R-Ladies Riverside","Riverside","USA","US/Canada",32,"https://www.meetup.com/rladies-riverside/","2019-08-02",0,1,"public","1970-01-01"
"494",494,"R-Ladies Miami","Miami","USA","US/Canada",393,"https://www.meetup.com/rladies-miami/","2017-06-03",13,1,"public","2019-09-28"
"495",495,"R-Ladies Iowa City","Iowa City","USA","US/Canada",83,"https://www.meetup.com/rladies-iowa-city/","2018-09-18",4,1,"public","2019-09-12"
"497",497,"R-Ladies Kathmandu","Kathmandu","Nepal","Asia",57,"https://www.meetup.com/rladies-kathmandu/","2018-10-01",3,0,"public","2019-08-31"
"498",498,"R-Ladies Irvine","Irvine","USA","US/Canada",311,"https://www.meetup.com/rladies-irvine/","2018-03-13",11,1,"public","2019-08-09"
"499",499,"R@Minho","Braga","Portugal","Europe",43,"https://www.meetup.com/R-Minho/","2015-10-06",0,0,"public","1970-01-01"
"500",500,"R-Ladies Lyon","Lyon","France","Europe",58,"https://www.meetup.com/rladies-lyon/","2018-10-29",2,0,"public","2019-04-15"
"501",501,"R-Ladies Munich","München","Germany","Europe",264,"https://www.meetup.com/rladies-munich/","2017-03-21",7,0,"public","2018-07-31"
"502",502,"R-Ladies Vienna","Vienna","Austria","Europe",198,"https://www.meetup.com/rladies-vienna/","2018-09-17",9,0,"public","2019-07-02"
"503",503,"R-Ladies Utrecht","Utrecht","Netherlands","Europe",87,"https://www.meetup.com/rladies-utrecht/","2019-06-10",1,0,"public","2019-08-29"
"504",504,"trigeR - Trójmiejska Grupa Entuzjastów R","Gdansk","Poland","Europe",278,"https://www.meetup.com/Trojmiejska-Grupa-Entuzjastow-R/","2016-12-14",14,0,"public","2018-05-29"
"508",508,"R-Ladies Highland Park","Highland Park","USA","US/Canada",55,"https://www.meetup.com/rladies-highland-park/","2019-05-09",2,0,"public","2019-08-20"
"509",509,"R-Ladies Des Moines","Des Moines","USA","US/Canada",26,"https://www.meetup.com/rladies-des-moines/","2018-09-23",4,0,"public","2019-05-20"
"510",510,"R-Ladies Houston","Houston","USA","US/Canada",70,"https://www.meetup.com/rladies-houston/","2018-12-07",0,0,"public","1970-01-01"
"511",511,"ShenzhenR","Las Vegas","USA","US/Canada",12,"https://www.meetup.com/ShenzhenR/","2017-12-07",0,0,"public","1970-01-01"
"512",512,"R, ML and AI in Sydney","Sydney","Australia","Australia",183,"https://www.meetup.com/R-ML-and-AI-in-Sydney/","2019-01-12",0,0,"public","1970-01-01"
"513",513,"R-Ladies Melbourne","Melbourne","Australia","Australia",1301,"https://www.meetup.com/rladies-melbourne/","2016-09-02",48,0,"public","2019-09-26"
"514",514,"R Glasgow","Glasgow","United Kingdom","Europe",121,"https://www.meetup.com/RGlasgow/","2019-04-24",1,1,"public","2019-06-12"
"515",515,"R-Ladies Montreal","Montréal","Canada","US/Canada",427,"https://www.meetup.com/rladies-montreal/","2017-09-14",13,2,"public","2019-09-19"
"516",516,"R-Ladies Ottawa","Ottawa","Canada","US/Canada",126,"https://www.meetup.com/rladies-ottawa/","2018-12-05",2,1,"public","2019-06-13"
"517",517,"R-Ladies Nijmegen","Nijmegen","Netherlands","Europe",227,"https://www.meetup.com/rladies-nijmegen/","2018-05-05",6,0,"public","2019-09-19"
"519",519,"R para utilizadores Excel Lisboa","Lisbon","Portugal","Europe",41,"https://www.meetup.com/R-para-utilizadores-Excel-Lisboa/","2019-06-04",1,0,"public","2019-09-19"
"520",520,"R-Ladies Freiburg","Freiburg","Germany","Europe",66,"https://www.meetup.com/rladies-freiburg/","2019-01-23",8,1,"public","2019-09-04"
"522",522,"AthensR","Athens","Greece","Europe",185,"https://www.meetup.com/AthensR/","2015-04-16",0,0,"public","1970-01-01"
"523",523,"R-Ladies Montenegro","HN","Montenegro","Europe",90,"https://www.meetup.com/rladies-montenegro/","2017-07-27",1,0,"public","2017-08-25"
"524",524,"R-Ladies Brussels","Brussels","Belgium","Europe",218,"https://www.meetup.com/rladies-brussels/","2017-08-15",10,0,"public","2019-03-30"
"525",525,"R-Ladies Leuven","Leuven","Belgium","Europe",90,"https://www.meetup.com/rladies-leuven/","2017-10-30",4,0,"public","2018-04-11"
"526",526,"R-Ladies Exeter","Exeter","United Kingdom","Europe",12,"https://www.meetup.com/rladies-exeter/","2019-02-27",0,0,"public","1970-01-01"
"528",528,"R-Ladies Chennai","Chennai","India","Asia",320,"https://www.meetup.com/rladies-chennai/","2017-10-15",5,0,"public","2019-03-05"
"529",529,"R-Ladies Orlando","Orlando","USA","US/Canada",329,"https://www.meetup.com/rladies-orlando/","2017-06-05",17,0,"public","2019-05-29"
"530",530,"R-Ladies Remote","San Francisco","USA","US/Canada",237,"https://www.meetup.com/rladies-remote/","2018-06-19",8,0,"public","2019-04-16"
"531",531,"R-Ladies Oslo","Oslo","Norway","Europe",327,"https://www.meetup.com/rladies-oslo/","2018-02-26",5,3,"public","2019-03-18"
"532",532,"R-Ladies Valparaíso","Valparaíso","Chile","Latin America",111,"https://www.meetup.com/rladies-valparaiso/","2018-05-18",2,0,"public","2019-08-30"
"533",533,"R-Ladies Tiruchirappalli","Tiruchchirappalli","India","Asia",168,"https://www.meetup.com/rladies-tiruchirappalli/","2018-03-03",1,0,"public","2018-05-12"
"616",616,"R-Ladies East Lansing","East Lansing","USA","US/Canada",350,"https://www.meetup.com/rladies-eastlansing/","2017-12-09",14,2,"public","2019-09-23"
"622",622,"R-Ladies PDX","Portland","USA","US/Canada",236,"https://www.meetup.com/rladies-pdx/","2017-07-20",14,0,"public","2019-08-06"
"633",633,"New York City R/Bioconductor for Genomics","New York","USA","US/Canada",783,"https://www.meetup.com/BiocNYC/","2017-09-05",15,0,"public","2019-06-24"
"634",634,"R-Ladies Lima","Lima","Peru","Latin America",952,"https://www.meetup.com/rladies-lima/","2018-01-25",7,0,"public","2019-09-05"
"635",635,"Tallinn R Users Group","Tallinn","Estonia","Europe",59,"https://www.meetup.com/r-tallinn/","2019-08-16",1,0,"public","2019-09-24"
"636",636,"R-Ladies San Jose","San Jose","Costa Rica","Latin America",424,"https://www.meetup.com/rladies-san-jose/","2017-10-09",16,0,"public","2019-09-26"
"639",639,"R-Ladies Madrid","Madrid","Spain","Europe",1272,"https://www.meetup.com/rladies-madrid/","2016-09-02",31,0,"public","2019-09-18"
"640",640,"R-Ladies Barcelona","Barcelona","Spain","Europe",411,"https://www.meetup.com/rladies-barcelona/","2016-10-22",13,0,"public","2019-09-16"
"642",642,"The East Bay R Language Enthusiasts Group","Oakland","USA","US/Canada",1760,"https://www.meetup.com/r-enthusiasts/","2012-01-28",91,0,"public","2019-06-05"
