"","X","name","city","country","region","members","fullurl","created","past_events","upcoming_events","visibility","last_event"
"841",841,"R-Ladies Athens","Athens","USA","US/Canada",6,"https://www.meetup.com/rladies-athens-ga/","2019-08-31",1,0,"public","2019-09-27"
"842",842,"R-Ladies Jakarta","Jakarta","Indonesia","Asia",208,"https://www.meetup.com/rladies-jakarta/","2019-07-06",3,0,"public","2019-09-21"
"843",843,"R-Ladies Gainesville","Gainesville","USA","US/Canada",212,"https://www.meetup.com/rladies-gainesville/","2018-07-04",12,1,"public","2019-09-09"
"844",844,"R-Ladies Atlanta","Atlanta","USA","US/Canada",226,"https://www.meetup.com/rladies-atlanta/","2017-12-14",4,1,"public","2019-04-30"
"845",845,"R-Ladies Addis Ababa","Addis Abeba","Ethiopia","Africa",391,"https://www.meetup.com/rladies-addis-ababa/","2018-03-21",16,0,"public","2019-09-10"
"846",846,"R-Ladies Lavras","Lavras","Brazil","Latin America",17,"https://www.meetup.com/rladies-lavras/","2019-04-16",1,0,"public","2019-05-31"
"847",847,"R-Ladies Louisville","Louisville","USA","US/Canada",43,"https://www.meetup.com/rladies-louisville/","2018-03-18",4,0,"public","2018-08-29"
"848",848,"R-Ladies Denver","Denver","USA","US/Canada",44,"https://www.meetup.com/rladies-denver/","2019-07-02",0,0,"public","1970-01-01"
"849",849,"R-Ladies Dallas","Dallas","USA","US/Canada",311,"https://www.meetup.com/rladies-dallas/","2018-03-04",13,0,"public","2019-09-16"
"850",850,"R-Ladies Helsinki","Helsinki","Finland","Europe",230,"https://www.meetup.com/rladies-helsinki/","2018-09-07",8,0,"public","2019-09-12"
"851",851,"R-Ladies Cotonou","Cotonou","Benin","Africa",35,"https://www.meetup.com/rladies-cotonou/","2018-03-29",1,0,"public","2019-07-27"
"852",852,"R-Ladies London, Ontario","London","Canada","US/Canada",410,"https://www.meetup.com/rladies-ldnont/","2017-01-17",22,1,"public","2019-05-30"
"853",853,"R-Ladies Boston","Boston","USA","US/Canada",725,"https://www.meetup.com/rladies-boston/","2016-09-16",34,1,"public","2019-09-19"
"854",854,"R-Ladies La Plata","La Plata","Argentina","Latin America",110,"https://www.meetup.com/rladies-la-plata/","2018-03-12",2,0,"public","2018-06-18"
"855",855,"R-Ladies São Paulo","São Paulo","Brazil","Latin America",517,"https://www.meetup.com/rladies-sao-paulo/","2018-02-10",12,0,"public","2019-09-12"
"856",856,"R-Ladies Dublin","Dublin","Ireland","Europe",716,"https://www.meetup.com/rladies-dublin/","2016-11-12",20,0,"public","2019-06-24"
"857",857,"R-Ladies Belo Horizonte","Belo Horizonte","Brazil","Latin America",671,"https://www.meetup.com/rladiesbh/","2018-04-20",9,1,"public","2019-09-28"
"858",858,"R-Ladies Milan","Milano","Italy","Europe",771,"https://www.meetup.com/rladies-milan/","2017-06-29",18,0,"public","2019-09-19"
"859",859,"R-Ladies New York","New York","USA","US/Canada",1537,"https://www.meetup.com/rladies-newyork/","2016-08-23",36,1,"public","2019-09-10"
"860",860,"R-Ladies Lexington Park","Lexington Park","USA","US/Canada",5,"https://www.meetup.com/rladies-lexington-park/","2019-08-16",0,0,"public","1970-01-01"
"861",861,"R-Ladies Cuernavaca","Cuernavaca","Mexico","Latin America",71,"https://www.meetup.com/rladies-cuernavaca/","2019-08-15",0,1,"public","1970-01-01"
"862",862,"R-Ladies Austin","Austin","USA","US/Canada",586,"https://www.meetup.com/rladies-austin/","2017-01-31",41,1,"public","2019-09-24"
"863",863,"R-Ladies Ankara","Ankara","Turkey","Europe",88,"https://www.meetup.com/rladies-ankara/","2019-07-01",0,0,"public","1970-01-01"
"864",864,"R-Ladies Den Bosch","Den Bosch","Netherlands","Europe",32,"https://www.meetup.com/rladies-den-bosch/","2019-03-23",1,0,"public","2019-09-11"
"865",865,"R-Ladies Bogor","Bogor","Indonesia","Asia",217,"https://www.meetup.com/rladies-bogor/","2019-04-07",5,0,"public","2019-09-14"
"866",866,"R-Ladies Podgorica","Podgorica","Montenegro","Europe",8,"https://www.meetup.com/rladies-podgorica/","2019-09-18",0,0,"public","1970-01-01"
"867",867,"R-Ladies Medellín","Medellín","Colombia","Latin America",2,"https://www.meetup.com/rladies-medellin/","2019-09-28",0,0,"public","1970-01-01"
"868",868,"R-Ladies Calgary","Calgary","Canada","US/Canada",26,"https://www.meetup.com/rladies-calgary/","2019-09-14",0,0,"public","1970-01-01"
"869",869,"R-Ladies Nelson","Nelson","New Zealand","Australia",10,"https://www.meetup.com/rladies-nelson/","2019-03-23",0,0,"public","1970-01-01"
"870",870,"R-Ladies Floripa","Florianópolis","Brazil","Latin America",282,"https://www.meetup.com/rladies-florianopolis/","2019-04-07",5,0,"public","2019-09-24"
"871",871,"R-Ladies Lagos","Lagos","Nigeria","Africa",72,"https://www.meetup.com/rladies-lagos/","2019-08-16",1,0,"public","2019-09-21"
"872",872,"R-Ladies Queretaro","Querétaro","Mexico","Latin America",138,"https://www.meetup.com/rladies-queretaro/","2019-03-30",3,0,"public","2019-09-20"
"873",873,"R-Ladies Pachuca","Pachuca","Mexico","Latin America",5,"https://www.meetup.com/rladies-pachuca/","2019-09-15",0,0,"public","1970-01-01"
"874",874,"R-Ladies Concepción","Concepción","Chile","Latin America",173,"https://www.meetup.com/rladies-concepcion/","2019-04-16",8,1,"public","2019-09-05"
"875",875,"R-Ladies Bogotá","Bogotá","Colombia","Latin America",263,"https://www.meetup.com/rladies-bogota/","2017-09-22",6,0,"public","2019-03-07"
